"periodo";"nivel_general_aperturas";"indice_icc";"Clasificador"
"2022-01-01";"Movimiento de tierras";100;"Ítems"
"2022-01-01";"Estructura";100;"Ítems"
"2022-01-01";"Albanileria";100;"Ítems"
"2022-01-01";"Yeseria";100;"Ítems"
"2022-01-01";"Instalacion sanitaria y contraincendio";100;"Ítems"
"2022-01-01";"Instalacion de gas";100;"Ítems"
"2022-01-01";"Instalacion electrica";100;"Ítems"
"2022-01-01";"Carpinteria metalica y herreria";100;"Ítems"
"2022-01-01";"Carpinteria de madera";100;"Ítems"
"2022-01-01";"Ascensores";100;"Ítems"
"2022-01-01";"Vidrios";100;"Ítems"
"2022-01-01";"Pintura";100;"Ítems"
"2022-01-01";"Otros trabajos y gastos";100;"Ítems"
"2022-02-01";"Movimiento de tierras";103.812933254688;"Ítems"
"2022-02-01";"Estructura";104.410773484463;"Ítems"
"2022-02-01";"Albanileria";103.927129746759;"Ítems"
"2022-02-01";"Yeseria";104.401086250664;"Ítems"
"2022-02-01";"Instalacion sanitaria y contraincendio";103.745420563839;"Ítems"
"2022-02-01";"Instalacion de gas";101.542653418102;"Ítems"
"2022-02-01";"Instalacion electrica";103.949007322413;"Ítems"
"2022-02-01";"Carpinteria metalica y herreria";105.61061404405;"Ítems"
"2022-02-01";"Carpinteria de madera";104.348301581399;"Ítems"
"2022-02-01";"Ascensores";100.573196712996;"Ítems"
"2022-02-01";"Vidrios";102.077324810975;"Ítems"
"2022-02-01";"Pintura";101.735606808807;"Ítems"
"2022-02-01";"Otros trabajos y gastos";103.472367445486;"Ítems"
"2022-03-01";"Movimiento de tierras";105.983075692185;"Ítems"
"2022-03-01";"Estructura";109.511396618843;"Ítems"
"2022-03-01";"Albanileria";109.514064023334;"Ítems"
"2022-03-01";"Yeseria";109.920892614676;"Ítems"
"2022-03-01";"Instalacion sanitaria y contraincendio";108.375716376808;"Ítems"
"2022-03-01";"Instalacion de gas";107.360815518714;"Ítems"
"2022-03-01";"Instalacion electrica";109.003925417076;"Ítems"
"2022-03-01";"Carpinteria metalica y herreria";107.490549238831;"Ítems"
"2022-03-01";"Carpinteria de madera";109.423871913209;"Ítems"
"2022-03-01";"Ascensores";103.236278786649;"Ítems"
"2022-03-01";"Vidrios";108.048172110063;"Ítems"
"2022-03-01";"Pintura";106.142159995352;"Ítems"
"2022-03-01";"Otros trabajos y gastos";110.412349575103;"Ítems"
"2022-04-01";"Movimiento de tierras";109.294937307645;"Ítems"
"2022-04-01";"Estructura";112.213708956353;"Ítems"
"2022-04-01";"Albanileria";110.331880332928;"Ítems"
"2022-04-01";"Yeseria";111.724422929335;"Ítems"
"2022-04-01";"Instalacion sanitaria y contraincendio";112.976240686068;"Ítems"
"2022-04-01";"Instalacion de gas";113.027152326858;"Ítems"
"2022-04-01";"Instalacion electrica";111.585642032158;"Ítems"
"2022-04-01";"Carpinteria metalica y herreria";114.817625852028;"Ítems"
"2022-04-01";"Carpinteria de madera";115.61823311971;"Ítems"
"2022-04-01";"Ascensores";108.985999797099;"Ítems"
"2022-04-01";"Vidrios";112.447384831242;"Ítems"
"2022-04-01";"Pintura";108.528437808633;"Ítems"
"2022-04-01";"Otros trabajos y gastos";112.296344175966;"Ítems"
"2022-05-01";"Movimiento de tierras";116.207156330847;"Ítems"
"2022-05-01";"Estructura";120.593009340138;"Ítems"
"2022-05-01";"Albanileria";118.783991749321;"Ítems"
"2022-05-01";"Yeseria";120.331778735463;"Ítems"
"2022-05-01";"Instalacion sanitaria y contraincendio";118.309474781055;"Ítems"
"2022-05-01";"Instalacion de gas";118.418305792406;"Ítems"
"2022-05-01";"Instalacion electrica";119.241148939382;"Ítems"
"2022-05-01";"Carpinteria metalica y herreria";117.815597039978;"Ítems"
"2022-05-01";"Carpinteria de madera";122.011636300007;"Ítems"
"2022-05-01";"Ascensores";113.586791112915;"Ítems"
"2022-05-01";"Vidrios";114.559786421389;"Ítems"
"2022-05-01";"Pintura";113.938592923953;"Ítems"
"2022-05-01";"Otros trabajos y gastos";119.30856827817;"Ítems"
"2022-06-01";"Movimiento de tierras";123.694614939877;"Ítems"
"2022-06-01";"Estructura";129.332021954138;"Ítems"
"2022-06-01";"Albanileria";127.685700703403;"Ítems"
"2022-06-01";"Yeseria";130.488812798867;"Ítems"
"2022-06-01";"Instalacion sanitaria y contraincendio";124.456463310757;"Ítems"
"2022-06-01";"Instalacion de gas";123.604766229717;"Ítems"
"2022-06-01";"Instalacion electrica";126.755114365517;"Ítems"
"2022-06-01";"Carpinteria metalica y herreria";122.189949352678;"Ítems"
"2022-06-01";"Carpinteria de madera";129.424309368096;"Ítems"
"2022-06-01";"Ascensores";118.704981231612;"Ítems"
"2022-06-01";"Vidrios";121.086990412347;"Ítems"
"2022-06-01";"Pintura";117.467902166967;"Ítems"
"2022-06-01";"Otros trabajos y gastos";127.482367255375;"Ítems"
"2022-07-01";"Movimiento de tierras";129.563226714477;"Ítems"
"2022-07-01";"Estructura";135.175454282845;"Ítems"
"2022-07-01";"Albanileria";131.557235055716;"Ítems"
"2022-07-01";"Yeseria";137.437274927682;"Ítems"
"2022-07-01";"Instalacion sanitaria y contraincendio";143.25303297194;"Ítems"
"2022-07-01";"Instalacion de gas";140.967072889696;"Ítems"
"2022-07-01";"Instalacion electrica";136.486562995395;"Ítems"
"2022-07-01";"Carpinteria metalica y herreria";141.605242800636;"Ítems"
"2022-07-01";"Carpinteria de madera";147.838972855924;"Ítems"
"2022-07-01";"Ascensores";130.503702952217;"Ítems"
"2022-07-01";"Vidrios";141.256138436355;"Ítems"
"2022-07-01";"Pintura";135.676523557776;"Ítems"
"2022-07-01";"Otros trabajos y gastos";132.804509419973;"Ítems"
"2022-08-01";"Movimiento de tierras";137.878212727687;"Ítems"
"2022-08-01";"Estructura";144.802398998583;"Ítems"
"2022-08-01";"Albanileria";140.480698729363;"Ítems"
"2022-08-01";"Yeseria";147.346360469921;"Ítems"
"2022-08-01";"Instalacion sanitaria y contraincendio";157.172037942127;"Ítems"
