"periodo";"nivel_general_aperturas";"indice_icc";"Clasificador"
"2022-01-01";"Nivel general";100;"Nivel general"
"2022-01-01";"Materiales";100;"Capítulos"
"2022-01-01";"Mano de obra";100;"Capítulos"
"2022-01-01";"Gastos generales";100;"Capítulos"
"2022-02-01";"Nivel general";103.809635871582;"Nivel general"
"2022-02-01";"Materiales";103.461973487762;"Capítulos"
"2022-02-01";"Mano de obra";104.20903483914;"Capítulos"
"2022-02-01";"Gastos generales";103.622082838899;"Capítulos"
"2022-03-01";"Nivel general";108.957034113846;"Nivel general"
"2022-03-01";"Materiales";107.610731574899;"Capítulos"
"2022-03-01";"Mano de obra";110.388768498453;"Capítulos"
"2022-03-01";"Gastos generales";108.74966701378;"Capítulos"
"2022-04-01";"Nivel general";111.477783912457;"Nivel general"
"2022-04-01";"Materiales";112.466181061394;"Capítulos"
"2022-04-01";"Mano de obra";110.436924672631;"Capítulos"
"2022-04-01";"Gastos generales";111.575811880948;"Capítulos"
"2022-05-01";"Nivel general";118.877112315922;"Nivel general"
"2022-05-01";"Materiales";117.432927656879;"Capítulos"
"2022-05-01";"Mano de obra";120.535830045748;"Capítulos"
"2022-05-01";"Gastos generales";118.083775296862;"Capítulos"
"2022-06-01";"Nivel general";126.709991582415;"Nivel general"
"2022-06-01";"Materiales";123.566031760395;"Capítulos"
"2022-06-01";"Mano de obra";130.22540793836;"Capítulos"
"2022-06-01";"Gastos generales";125.428845889941;"Capítulos"
"2022-07-01";"Nivel general";135.483287021533;"Nivel general"
"2022-07-01";"Materiales";138.761254128399;"Capítulos"
"2022-07-01";"Mano de obra";132.822137022837;"Capítulos"
"2022-07-01";"Gastos generales";132.072425511992;"Capítulos"
"2022-08-01";"Nivel general";145.610636930569;"Nivel general"
"2022-08-01";"Materiales";151.118852644437;"Capítulos"
"2022-08-01";"Mano de obra";141.251319664389;"Capítulos"
"2022-08-01";"Gastos generales";139.344844566069;"Capítulos"
"2022-09-01";"Nivel general";156.442167573292;"Nivel general"
"2022-09-01";"Materiales";160.064244672669;"Capítulos"
"2022-09-01";"Mano de obra";154.302568946676;"Capítulos"
"2022-09-01";"Gastos generales";148.885606115645;"Capítulos"
"2022-10-01";"Nivel general";167.839396106188;"Nivel general"
"2022-10-01";"Materiales";169.532642627698;"Capítulos"
"2022-10-01";"Mano de obra";167.86131021837;"Capítulos"
"2022-10-01";"Gastos generales";159.475778784136;"Capítulos"
"2022-11-01";"Nivel general";179.137061810414;"Nivel general"
"2022-11-01";"Materiales";178.974799800932;"Capítulos"
"2022-11-01";"Mano de obra";181.374673556704;"Capítulos"
"2022-11-01";"Gastos generales";169.341857780576;"Capítulos"
"2022-12-01";"Nivel general";186.865852665116;"Nivel general"
"2022-12-01";"Materiales";187.784463647469;"Capítulos"
"2022-12-01";"Mano de obra";187.849826822989;"Capítulos"
"2022-12-01";"Gastos generales";177.732303295958;"Capítulos"
"2023-01-01";"Nivel general";199.350126263769;"Nivel general"
"2023-01-01";"Materiales";198.348640456047;"Capítulos"
"2023-01-01";"Mano de obra";202.358726454409;"Capítulos"
"2023-01-01";"Gastos generales";190.004762712001;"Capítulos"
"2023-02-01";"Nivel general";211.370075034168;"Nivel general"
"2023-02-01";"Materiales";208.554494864951;"Capítulos"
"2023-02-01";"Mano de obra";216.65740586394;"Capítulos"
"2023-02-01";"Gastos generales";200.099290436636;"Capítulos"
"2023-03-01";"Nivel general";221.3145913851;"Nivel general"
"2023-03-01";"Materiales";220.121250508981;"Capítulos"
"2023-03-01";"Mano de obra";225.344964901558;"Capítulos"
"2023-03-01";"Gastos generales";208.070778743774;"Capítulos"
"2023-04-01";"Nivel general";239.206936813809;"Nivel general"
"2023-04-01";"Materiales";235.713704022078;"Capítulos"
"2023-04-01";"Mano de obra";244.529643829527;"Capítulos"
"2023-04-01";"Gastos generales";231.084364581567;"Capítulos"
"2023-05-01";"Nivel general";257.819755075442;"Nivel general"
"2023-05-01";"Materiales";254.068678459938;"Capítulos"
"2023-05-01";"Mano de obra";263.881943286844;"Capítulos"
"2023-05-01";"Gastos generales";247.459214233244;"Capítulos"
"2023-06-01";"Nivel general";272.845596155065;"Nivel general"
"2023-06-01";"Materiales";272.177532461657;"Capítulos"
"2023-06-01";"Mano de obra";273.523365005279;"Capítulos"
"2023-06-01";"Gastos generales";272.894518037763;"Capítulos"
"2023-07-01";"Nivel general";295.711557434175;"Nivel general"
"2023-07-01";"Materiales";291.6898158621;"Capítulos"
"2023-07-01";"Mano de obra";300.225963586524;"Capítulos"
"2023-07-01";"Gastos generales";293.992524963876;"Capítulos"
"2023-08-01";"Nivel general";339.438646669623;"Nivel general"
"2023-08-01";"Materiales";356.49730805773;"Capítulos"
"2023-08-01";"Mano de obra";325.333851938286;"Capítulos"
"2023-08-01";"Gastos generales";322.892499939457;"Capítulos"
"2023-09-01";"Nivel general";389.213725188491;"Nivel general"
"2023-09-01";"Materiales";390.770483644754;"Capítulos"
"2023-09-01";"Mano de obra";392.367246392917;"Capítulos"
"2023-09-01";"Gastos generales";366.70379967549;"Capítulos"
"2023-10-01";"Nivel general";416.986323687807;"Nivel general"
"2023-10-01";"Materiales";445.998280776365;"Capítulos"
"2023-10-01";"Mano de obra";392.615435905984;"Capítulos"
"2023-10-01";"Gastos generales";390.661855520306;"Capítulos"
"2023-11-01";"Nivel general";465.072454585773;"Nivel general"
"2023-11-01";"Materiales";503.213138487988;"Capítulos"
"2023-11-01";"Mano de obra";433.003648756274;"Capítulos"
"2023-11-01";"Gastos generales";430.596792030933;"Capítulos"
"2023-12-01";"Nivel general";607.606600110424;"Nivel general"
"2023-12-01";"Materiales";746.252544903407;"Capítulos"
"2023-12-01";"Mano de obra";482.497082847141;"Capítulos"
"2023-12-01";"Gastos generales";522.668894647196;"Capítulos"
"2024-01-01";"Nivel general";702.602210294797;"Nivel general"
"2024-01-01";"Materiales";845.05180292268;"Capítulos"
"2024-01-01";"Mano de obra";576.433109221907;"Capítulos"
"2024-01-01";"Gastos generales";604.116113304111;"Capítulos"
"2024-02-01";"Nivel general";747.937691771585;"Nivel general"
"2024-02-01";"Materiales";898.354974437859;"Capítulos"
"2024-02-01";"Mano de obra";588.574947676465;"Capítulos"
"2024-02-01";"Gastos generales";767.567545750289;"Capítulos"
"2024-03-01";"Nivel general";808.761528923002;"Nivel general"
"2024-03-01";"Materiales";943.635705560331;"Capítulos"
"2024-03-01";"Mano de obra";669.452316126762;"Capítulos"
"2024-03-01";"Gastos generales";809.398687428862;"Capítulos"
"2024-04-01";"Nivel general";847.370183648163;"Nivel general"
"2024-04-01";"Materiales";971.165905080758;"Capítulos"
"2024-04-01";"Mano de obra";713.622640810506;"Capítulos"
"2024-04-01";"Gastos generales";875.777169657488;"Capítulos"
"2024-05-01";"Nivel general";939.090176769277;"Nivel general"
"2024-05-01";"Materiales";985.522327285889;"Capítulos"
"2024-05-01";"Mano de obra";888.289714952492;"Capítulos"
"2024-05-01";"Gastos generales";952.746631793928;"Capítulos"
"2024-06-01";"Nivel general";968.871229057864;"Nivel general"
"2024-06-01";"Materiales";997.709813147536;"Capítulos"
"2024-06-01";"Mano de obra";933.141634716897;"Capítulos"
"2024-06-01";"Gastos generales";997.117348380275;"Capítulos"
"2024-07-01";"Nivel general";986.730990288099;"Nivel general"
"2024-07-01";"Materiales";1023.18780256074;"Capítulos"
"2024-07-01";"Mano de obra";942.715452575429;"Capítulos"
"2024-07-01";"Gastos generales";1016.98835153658;"Capítulos"
"2024-08-01";"Nivel general";1003.14799561924;"Nivel general"
"2024-08-01";"Materiales";1044.64642808669;"Capítulos"
"2024-08-01";"Mano de obra";950.710303569114;"Capítulos"
"2024-08-01";"Gastos generales";1048.63374744711;"Capítulos"
"2024-09-01";"Nivel general";1050.44486482083;"Nivel general"
"2024-09-01";"Materiales";1062.89462968828;"Capítulos"
"2024-09-01";"Mano de obra";1024.41888462892;"Capítulos"
"2024-09-01";"Gastos generales";1112.7898998216;"Capítulos"
"2024-10-01";"Nivel general";1062.73272811202;"Nivel general"
"2024-10-01";"Materiales";1077.48540922047;"Capítulos"
"2024-10-01";"Mano de obra";1032.20444148099;"Capítulos"
"2024-10-01";"Gastos generales";1135.12944082532;"Capítulos"
"2024-11-01";"Nivel general";1073.07549577763;"Nivel general"
"2024-11-01";"Materiales";1090.23842917251;"Capítulos"
"2024-11-01";"Mano de obra";1035.27902798615;"Capítulos"
"2024-11-01";"Gastos generales";1168.08821511314;"Capítulos"
"2024-12-01";"Nivel general";1165.89068001412;"Nivel general"
"2024-12-01";"Materiales";1099.7810252002;"Capítulos"
"2024-12-01";"Mano de obra";1222.02867144524;"Capítulos"
"2024-12-01";"Gastos generales";1223.02650166695;"Capítulos"
"2025-01-01";"Nivel general";1177.13222848764;"Nivel general"
"2025-01-01";"Materiales";1113.15748993349;"Capítulos"
"2025-01-01";"Mano de obra";1225.99877757404;"Capítulos"
